,E1,E2,C1,A1
001201,81.0341,78.8484,80.9794,81.0114
001203,81.4732,78.2217,80.7476,80.8239
001207,81.2964,79.3103,80.8949,81.7356
001209,82.8256,79.604,80.5944,83.5585
011200,79.0394,82.4073,80.5506,81.7242
011203,80.7456,81.4593,80.5888,82.4824
011207,79.9647,82.8949,80.3841,83.1371
011209,80.6942,82.776,80.7701,83.7477
031200,77.2677,80.7598,77.9885,81.2772
031201,78.959,80.542,78.0691,82.7508
031207,79.613,80.4969,77.8066,83.3596
031209,80.113,80.7659,79.1143,84.1287
071200,81.1372,81.5337,78.2534,84.7975
071201,81.152,80.6943,78.1568,83.9729
071203,82.5778,79.703,78.2534,84.4073
071209,82.5294,81.364,78.2534,86.02
091200,80.5103,79.8727,81.4577,80.5033
091201,80.9257,79.4667,82.1193,80.5126
091203,81.5351,78.866,82.0333,80.5214
091207,82.0624,80.2836,82.8323,82.4663
